Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
responsible for,enclosure,caretaker,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure,caretaker,,assigned as caretaker
have,enclosure,enclosure,caretakers,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species,caretaker,,assigned as caretaker
tailored to,climate conditions,climate conditions,species,"climate conditions, tailored to the needs of specific species in the enclosure",species,,*
includes,climate conditions,climate conditions,"temperature, humidity, lighting, ventilation","climate conditions are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,*,
has a thermal preference,climate conditions,species,climate conditions,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health",species,,*
requires a range of temperatures,climate conditions,animal species,climate conditions,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas",species,,*
affects,climate conditions,humidity levels,climate conditions,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort",,humidity level,
consistent with,climate conditions,climate conditions,light cycles,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors",,light cycles,
ensuring an exposure to,climate conditions,climate conditions,ultraviolet light,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism",,ultraviolet light,
maintaining,climate conditions,climate conditions,air quality,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,ventilation,
is integral to,staff member,staff member,zoological garden,Staff members of zoological gardens are integral to their operation.,zoological garden,,has member
is a type of,staff member,staff member,"zoologist, veterinarian, caretaker, administrative personnel","They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologist;veterinarian;caretaker;administrative personnel,,*
has,staff member,staff member,name and expertise,Each staff member has a name and expertise.,,+name;expertise,
has,staff member,staff member,birth date and permanent address,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,+birth date;permanent address,
affects,staff member,staff member,animal welfare,Their expertise directly affects animal welfare.,,,
is a type of,zoologist,zoologist,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",zoologist,,*
is responsible for,zoologist,zoologist,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned to as zoologist
is responsible for,zoologist,zoologist,animal care,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
studies,zoologist,zoologist,animal,"Zoologists study animals and wildlife with the aim of understanding their biology and behavior, and how they interact with their environment.",,,
contributes to,zoologist,zoologist,conservation,"Zoologists also contribute to conservation efforts by studying the impacts of human activities on wildlife and their habitats, and developing strategies to mitigate these impacts.",,,
is staff member of,veterinarian,veterinarian,zoological garden,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",veterinarian,,*
affects,veterinarian,veterinarian,animal welfare,Their expertise directly affects animal welfare.,,,
responsible for medical treatment of,veterinarian,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,species,,responsible for
is responsible for,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned as caretaker
is responsible for,caretaker,caretaker,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
provides,caretaker,caretaker,non-stop care,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,,,
participates in,conservation program,conservation program,zoological garden,conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,zoological garden,,participates in
focuses on,conservation program,conservation program,species,A conservation program focuses on particular species it supports.,species,,supports
collaborates with,conservation program,conservation program,global conservation entities,These conservation programs often collaborate with global conservation entities,,,*
part of,conservation program,animals,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
