Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
is a part of,climate conditions,ventilation,climate conditions,proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,ventilation,
includes,staff member,staff member,personnel,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
has,staff member,staff member,name,Each staff member has a name and expertise.,,name,
has,staff member,staff member,birth date and permanent address,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,+birth date;permanent address,
is assigned to,staff member,staff member,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,+:assigned as caretaker;:assigned to as zoologist
is responsible for,staff member,staff member,daily care and behavioral training,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
is responsible for,staff member,staff member,medical treatment,Veterinarians are responsible for medical treatment of particular species.,,,responsible for
is not assigned to,staff member,staff member,enclosure or individual animal,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
is a type of,zoologist,zoologist,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",zoologist,,*
is responsible for,zoologist,zoologist,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned to as zoologist
is responsible for,zoologist,zoologist,animal,Zoologists are assigned to particular enclosures they are responsible for.,,,
is responsible for,zoologist,zoologist,conservation program,Zoologists are assigned to particular enclosures they are responsible for.,,,
works in,zoologist,zoologist,department,Zoologists are assigned to particular enclosures they are responsible for.,,,
works with,zoologist,zoologist,caretaker,Zoologists are assigned to particular enclosures they are responsible for.,,,
works with,zoologist,zoologist,veterinarian,Zoologists are assigned to particular enclosures they are responsible for.,,,
works with,zoologist,zoologist,administrative personnel,Zoologists are assigned to particular enclosures they are responsible for.,,,
treats,veterinarian,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,species,,responsible for
is staff member of,veterinarian,veterinarian,zoological garden,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",zoological garden,,:has member
assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
responsible for,caretaker,caretaker,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
needed for,caretaker,caretaker,non-stop care,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,,,
participates in,conservation program,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,conservation program,,participates in
focuses on,conservation program,conservation program,geographic region,Conservation programs with ex-situ strategies also focus on specific countries or geographic regions.,,geographic region,
collaborates with,conservation program,conservation program,global conservation entities,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
part of,conservation program,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
participates in,reintroduction conservation program,reintroduction conservation program,animal,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
collaborates with,reintroduction conservation program,reintroduction conservation program,global conservation entity,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
