Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
temperature range,enclosure,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
consistent light cycles,enclosure,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
proper ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
caretakers assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
caretakers daily care,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
multiple caretakers,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
zoologists assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,zoologist,,assigned to as zoologist
caretakers and zoologists assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,+caretaker;zoologist,,+assigned as caretaker;assigned to as zoologist
caretakers daily training,enclosure,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
caretakers not assigned to enclosures,enclosure,Caretakers are not assigned to enclosures or individual animals but species.,,,
climate conditions,climate conditions,climate conditions,,,
size,climate conditions,size in square meters,,,
type,climate conditions,"type (e.g., aviary, aquarium, terrarium)",,,
vegetation,climate conditions,"vegetation, tailored to the needs of specific species in the enclosure",,,
temperature,climate conditions,temperature,,temperature,
humidity,climate conditions,humidity,,humidity level,
lighting,climate conditions,lighting,,light cycles,
ventilation,climate conditions,ventilation,,ventilation,
affiliation,staff member,Staff members of zoological gardens,zoological garden,,has member
role,staff member,"They include zoologists, veterinarians, caretakers, and administrative personnel",+zoologists;veterinarians;caretakers;administrative personnel,,*
name,staff member,Each staff member has a name,,name,
expertise,staff member,expertise,,expertise,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,permanent address,,permanent address,
affects animal welfare,staff member,Their expertise directly affects animal welfare,,,
iucn status,conservation program,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
diet,conservation program,diet of a particular animal in a zoological setting,,,
reproductive details,conservation program,reproductive details of animal species,,,
participating conservation programs,conservation program,conservation programs a zoological garden participates in,zoological garden,,participates in
supported species,conservation program,conservation program focuses on particular species it supports,species,,supports
collaborating entities,conservation program,global conservation entities,,,*
activities,conservation program,"research, breeding programs, and reintroduction efforts",,,
animals in reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs,animal,,:is part of program
