Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
is associated with,diet,diet,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
has,enclosure,zoological garden,enclosure,"A zoological garden provides various enclosures where its animals live and are ethicaly displayed and conserved.. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",zoological garden,,provides
is responsible for,enclosure,caretaker/zoologist,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,+caretaker;zoologist,,-assigned as caretaker;assigned to as zoologist
contains,enclosure,enclosure,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
has,climate conditions,enclosure,climate conditions,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
is tailored to,climate conditions,climate conditions,species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,*,
includes,climate conditions,climate conditions,environmental factors,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,-temperature;humidity level;temperature;ventilation,
has,climate conditions,climate conditions,temperature,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,temperature,
has,climate conditions,climate conditions,humidity,"Humidity levels are vital, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
has,climate conditions,climate conditions,light cycles,"Ensuring that light cycles (day and night) are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
has,climate conditions,climate conditions,ventilation,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,ventilation,
is,staff member,staff member,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,staff member,,-assigned as caretaker;assigned to as zoologist
is assigned to,zoologist,zoologist,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned to as zoologist
is a,zoologist,zoologist,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,*
treats,veterinarian,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,species,,*
is assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
cares for,caretaker,caretaker,animal,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
focuses on,conservation program,conservation program,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,species,,supports
focuses on,conservation program,conservation program,country/region,Conversation with ex-situ strategies also focus on specific countries or geographic regions.,,country,
part of,conservation program,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
