Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
number of eggs,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
size,enclosure,Each enclosure is characterized by its size in square meters,,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,"vegetation, tailored to the needs of specific species in the enclosure",,vegetation,
space,enclosure,"providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",,enclosure size,
enrichment,enclosure,"providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",,*,
security,enclosure,"providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",,,
temperature,enclosure,temperature,,*,
humidity,enclosure,humidity,,*,
lighting,enclosure,lighting,,*,
ventilation,enclosure,ventilation,,*,
light cycles,enclosure,light cycles (day and night),,*,
caretakers,enclosure,caretakers,caretaker,,assigned as caretaker
climate conditions,climate conditions,"climate conditions, and vegetation, tailored to the needs of specific species in the enclosure",enclosure,,has climate conditions
temperature,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,temperature,
humidity,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,humidity level,
lighting,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,light cycles,
ventilation,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,ventilation,
name,staff member,Each staff member has a name,,name,
expertise,staff member,Each staff member has a name and expertise,,expertise,
birth date,staff member,we need to keep staff member's birth date,,birth date,
permanent address,staff member,we need to keep staff member's permanent address,,permanent address,
conservation strategy,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
supported species,conservation program,A conservation program focuses on particular species it supports.,species,,supports
collaborating entities,conservation program,These conservation programs often collaborate with global conservation entities,,,*
program activities,conservation program,"and are pivotal in research, breeding programs, and reintroduction efforts.",,*,
reintroduction program,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
