Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
planting activity,field,"Each planting activity is performed on a particular field, indicating the location of agricultural operations and facilitating field-specific crop management.",planting,,performed on
exact date or period,field,"Furthermore, the exact date or period when the crop was planted is recorded and is critical for tracking crop growth stages and scheduling subsequent farming activities.",,,
field,field,Fields serve as the primary physical space where crops are grown.,,,
size,field,"Key characteristics of fields include their size, typically expressed in hectares, which is fundamental for planning the distribution of crops, determining the amount of seeds needed, and calculating the expected yield.",,size,
soil type,field,"The soil type present in the field, such as loamy, sandy, clay, or silt, affects water retention, nutrient availability, and the types of crops that can be successfully cultivated.",,soil type,
soil ph,field,"The soil pH, indicating the acidity or alkalinity of the soil, is crucial for managing soil health and fertility.",,soil ph,
location,field,"The location of the field is also described, which can include specific GPS coordinates or a general description.",,location,
topography,field,"The physical layout of the land, including its flatness, slope, and elevation, known as the topography, influences water drainage, erosion risk, and the suitability of various agricultural machinery.",,topography,
irrigation systems,field,"Fields may have irrigation systems, and the availability and type of irrigation used are vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops.",,irrigation availability,
crop,field,"Crop is plants grown in large amounts and cultivated by farmers for profit or subsistence, including cereals, oil seeds, vegetables, and fruits.",crop,,*
cultivated variety,field,"Each crop type may have a cultivated variety, a plant grouping within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics.",,,
harvest,field,The harvest is the production that is obtained from crops. It represents the final output of the agricultural cycle and is quantified and evaluated in terms of quantity and quality.,harvest,,*
quantity,field,"The total quantity of the harvest, measured in kilograms, is crucial for determining the productivity and success of the crop.",,*,
quality,field,"The quality of the harvest may include factors like size, ripeness, nutritional value, and absence of pests or diseases. High-quality harvests are crucial for market acceptance and consumer satisfaction.",,*,
machinery,field,Machinery plays a critical role in the efficient and effective management of agricultural tasks.,,,
type of machinery,field,"Types of machinery include tractors, planters, harvesters, and sprayers.",,,
year of manufacture,field,"The year the machinery was manufactured indicates its age and potential modernity in technology, while the model of the machinery affects its functionality and suitability for specific tasks.",,,
properties,field,"Various properties link machinery to specific uses, such as field preparation, planting, and harvesting.",,,
field preparation machinery,field,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting.",field,,*
planting machinery,field,Machinery used for planting plays a pivotal role in the agricultural planting process. This category includes machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,,,*
harvesting machinery,field,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",,,*
farming,field,A farmer farms on one or more fields to grow crop on it. Farming includes not only growing crops but also other farming activities such as soil preparation.,,,
ownership,field,"To reduce manual work, the farmer owns machinery. This highlights the ownership of agricultural equipment by farmers.",,,
farmer,planting,"an individual who engages in the activity of agriculture, growing and harvesting crops",farmer,,conducts planting
name,planting,"uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting",,,
age,planting,"Additionally, the age of the farmer is captured in years and is utilized mainly for statistical and reporting purposes.",,,
field,planting,Fields serve as the primary physical space where crops are grown.,field,,performed on
size,planting,"Key characteristics of fields include their size, typically expressed in hectares, which is fundamental for planning the distribution of crops, determining the amount of seeds needed, and calculating the expected yield.",,,
soil type,planting,"The soil type present in the field, such as loamy, sandy, clay, or silt, affects water retention, nutrient availability, and the types of crops that can be successfully cultivated.",,,
soil ph,planting,"The soil pH, indicating the acidity or alkalinity of the soil, is crucial for managing soil health and fertility.",,,
location,planting,"The location of the field is also described, which can include specific GPS coordinates or a general description.",,,
topography,planting,"The physical layout of the land, including its flatness, slope, and elevation, known as the topography, influences water drainage, erosion risk, and the suitability of various agricultural machinery.",,,
irrigation,planting,"Fields may have irrigation systems, and the availability and type of irrigation used are vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops.",,,
crop,planting,"Crop is plants grown in large amounts and cultivated by farmers for profit or subsistence, including cereals, oil seeds, vegetables, and fruits.",,,
cultivated variety,planting,"Each crop type may have a cultivated variety, a plant grouping within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics.",,,
harvest,planting,The harvest is the production that is obtained from crops. It represents the final output of the agricultural cycle and is quantified and evaluated in terms of quantity and quality.,harvest,,results in harvest
quantity,planting,"The total quantity of the harvest, measured in kilograms, is crucial for determining the productivity and success of the crop.",,*,
quality,planting,"The quality of the harvest may include factors like size, ripeness, nutritional value, and absence of pests or diseases. High-quality harvests are crucial for market acceptance and consumer satisfaction.",,*,
machinery,planting,Machinery plays a critical role in the efficient and effective management of agricultural tasks.,machinery,,used for planting
year of manufacture,planting,"The year the machinery was manufactured indicates its age and potential modernity in technology, while the model of the machinery affects its functionality and suitability for specific tasks.",,,
field preparation machinery,planting,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting.",,,
planting machinery,planting,Machinery used for planting plays a pivotal role in the agricultural planting process. This category includes machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,machinery,,used for planting
harvesting machinery,planting,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",,,
relationship between farmer and field,planting,"A missing piece in the domain description is how a farmer is related to the field. Basically, a farmer farms on one or more fields to grow crops on it. Farming includes not only growing crops but also other farming activities such as soil preparation. The farmer is primarily responsible for conducting planting, i.e. for a particular planting activity.",,,
machinery ownership,planting,"To reduce manual work, the farmer owns machinery. This highlights the ownership of agricultural equipment by farmers. A farmer can own one or more pieces of machinery.",,,
