Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species name,diet,"Animals are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,,
species common name,diet,"Animals are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,,
iucn status,diet,"Animals are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,,
diet,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
feeding schedule,diet,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others. For the diet, the feeding schedule is essential.",,feeding schedule,
diet type,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies.",,diet type,
required nutrients,diet,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others.",,nutrients,
reproductive info,diet,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
reproduction age,diet,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,,
breeding season,diet,"This takes us also to the specific time of year when the animals of that species naturally breeds, which can influence how enclosures are managed and when animals are introduced for mating.",,,
gestation period,diet,"Gestation period, which is the length of pregnancy in viviparous animals, is important for monitoring and providing care during this critical period.",,,
eggs laid,diet,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,,
enclosure size,diet,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure type,diet,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure climate,diet,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure vegetation,diet,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure maintenance,diet,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
enclosure temperature,diet,"Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,
enclosure humidity,diet,"Humidity levels are vital, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
enclosure light cycles,diet,"Ensuring that light cycles (day and night) are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
enclosure uv light,diet,"Many species, particularly reptiles, require exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting can lead to health problems like metabolic bone disease.",,,
enclosure ventilation,diet,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
staff name,diet,Each staff member has a name and expertise.,,,
staff expertise,diet,Each staff member has a name and expertise.,,,
staff birth date,diet,"For the administrative purposes, we need to keep their birth date and permanent address.",,,
staff address,diet,"For the administrative purposes, we need to keep their birth date and permanent address.",,,
staff assigned enclosures,diet,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
staff daily care,diet,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,,,
staff medical treatment,diet,Veterinarians are responsible for medical treatment of particular species.,,,
staff species responsible,diet,Veterinarians are responsible for medical treatment of particular species.,,,
conservation focus,diet,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,,,
conservation exsitu,diet,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation with ex-situ strategies also focus on specific countries or geographic regions.,,,
conservation collaboration,diet,"These programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
reintroduction animals,diet,Specific animals may be part of reintroduction conservation programs.,,,
species name,oviparous species,species name,,:species name,
species common name,oviparous species,species common name,,:species common name,
iucn status,oviparous species,IUCN status,,:iucn status,
diet,oviparous species,Specified diet which is crucial for managing their welfare and conservation status of the animal,,,
name,oviparous species,Each animal also has a name which is not unique but our staff uses to refer to them and we also present animal names to our visitors,,,
species taxonomic standard,oviparous species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse",,*,
number of eggs,oviparous species,"For oviparous species, the number of eggs typically laid at one time",,number of laid eggs,
enclosure,oviparous species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,enclosure,,:resident of
enclosure size,oviparous species,Each enclosure is characterized by its size in square meters,,,
enclosure type,oviparous species,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,oviparous species,climate conditions,,,
vegetation,oviparous species,and vegetation,,,
temperature,oviparous species,temperature,,,
humidity,oviparous species,humidity,,,
lighting,oviparous species,lighting,,,
ventilation,oviparous species,and ventilation,,,
critical temperature,oviparous species,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
range of temperatures,oviparous species,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas",,*,
humidity levels,oviparous species,"Humidity levels are vital, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort",,*,
light cycles,oviparous species,Ensuring that light cycles (day and night) are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms,,*,
proper ventilation,oviparous species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,,
staff members,oviparous species,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel",,,
staff member name,oviparous species,Each staff member has a name,,,
staff member expertise,oviparous species,and expertise,,,
caretaker,oviparous species,Caretakers and zoologists are assigned to particular enclosures,,,
veterinarian,oviparous species,Veterinarians are responsible for medical treatment of particular species,veterinarian,,:responsible for
conservation programs,oviparous species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,conservation program,,:supports
conservation programs collaboration,oviparous species,"These programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts",,,
reintroduction conservation programs,oviparous species,Specific animals may be part of reintroduction conservation programs,,,
size,enclosure,"its size in square meters,",,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium),",,enclosure type,
climate conditions,enclosure,"climate conditions,",,,has climate conditions
vegetation,enclosure,"and vegetation,",,vegetation,
species,enclosure,tailored to the needs of specific species in the enclosure.,species,,resident of
climate conditions,climate conditions,climate conditions,,,
environmental factors,climate conditions,"a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,*,
temperature,climate conditions,temperature,,temperature,
humidity levels,climate conditions,humidity levels,,humidity level,
lighting,climate conditions,lighting,,-ultraviolet light;light cycles,
ventilation,climate conditions,ventilation,,ventilation,
expertise,staff member,Each staff member has expertise,,expertise,
birth date,staff member,"for administrative purposes, we need to keep their birth date",,birth date,
permanent address,staff member,and permanent address,,permanent address,
assigned enclosures,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for,enclosure,,-assigned as caretaker;assigned to as zoologist
daily care and behavioral training,staff member,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure,,,
medical treatment,staff member,Veterinarians are responsible for medical treatment of particular species,species,,:responsible for
conservation strategy,conservation program,"Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation with ex-situ strategies also focus on specific countries or geographic regions. These programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,*,
