Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
managed/mated in,enclosure,enclosure,animal/species,"This takes us also to the specific time of year when the animals of that species naturally breeds, which can influence how enclosures are managed and when animals are introduced for mating.",+animal;species,,resident of
designed for,enclosure,enclosure,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,species,,resident of
used for,enclosure,enclosure,animal conservation,They are critical for the ethical display and conservation of animals.,,,resident of
provides,enclosure,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethicaly displayed and conserved.,zoological garden,,provides
characterized by,enclosure,enclosure,features,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,-enclosure size;enclosure type;vegetation,
responsible for,enclosure,design and maintenance,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,*,
assigned to,enclosure,caretakers and zoologists,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,-caretaker;zoologist,,-assigned as caretaker;assigned to as zoologist
must have,enclosure,enclosure,caretakers,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
characterized by,climate conditions,enclosure,climate conditions,"Each enclosure is characterized by...climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
a blend of,climate conditions,enclosure,climate conditions,"Climate conditions are a blend of...temperature, humidity, lighting, and ventilation.",climate conditions,,has climate conditions
essential for maintaining,climate conditions,enclosure,climate conditions,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,climate conditions,,has climate conditions
includes,staff member,zoological garden,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,has member
has,staff member,staff member,name,Each staff member has a name,,name,
has,staff member,staff member,expertise,Each staff member has a name and expertise.,,expertise,
assigned to,zoologist,zoologist,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned to as zoologist
includes,zoologist,group,zoologist,"They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
responsible for,veterinarian,veterinarian,medical treatment,Veterinarians are responsible for medical treatment of particular species.,,,responsible for
includes,veterinarian,some group,veterinarian,"They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
is assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned as caretaker
is responsible for,caretaker,caretaker,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
has,caretaker,enclosure,caretaker,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned as caretaker
participates in,conservation program,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,zoological garden,,participates in
focuses on,conservation program,conservation program,species,Conservation programs focus on particular species it supports.,species,,supports
part of,conservation program,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
collaborate,reintroduction conservation program,reintroduction conservation program,global conservation entity,These programs often collaborate with global conservation entities,,,*
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
