Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
classification by species,species,species,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
has diet,diet,diet,animal,They are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.,animal,,has specified diet
influences,diet,diet,feeding strategy,This classification helps in formulating appropriate feeding strategies.,,*,
related to,diet,diet,nutrient,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
has,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential.",,feeding schedule,
requires,diet,diet,nutrient,Some species may require particular vitamins or minerals in higher quantities than others.,,nutrients,
requires special,diet,diet,feeding technique,"Some species, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
mimics natural environment,enclosure,enclosure,natural environment,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
has size,enclosure,enclosure,size,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure size,
has type,enclosure,enclosure,type,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure type,
has climate conditions,enclosure,enclosure,climate conditions,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
has vegetation,enclosure,enclosure,vegetation,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,vegetation,
provides space,enclosure,enclosure,space,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
provides enrichment,enclosure,enclosure,enrichment,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,*,
provides security,enclosure,enclosure,security,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
has temperature,enclosure,enclosure,temperature,"Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,*,
has humidity,enclosure,enclosure,humidity,"Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,*,
has lighting,enclosure,enclosure,lighting,"Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,*,
has ventilation,enclosure,enclosure,ventilation,"Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,*,
temperature,climate conditions,climate conditions,n/a,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,temperature,
temperature,climate conditions,climate conditions,n/a,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,temperature,
temperature range,climate conditions,climate conditions,n/a,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,temperature,
humidity,climate conditions,climate conditions,n/a,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
light cycles,climate conditions,climate conditions,n/a,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
ultraviolet light,climate conditions,climate conditions,n/a,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,ultraviolet light,
ventilation,climate conditions,climate conditions,n/a,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,ventilation,
staff member roles,staff member,staff member,role,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologist;veterinarian;caretaker;administrative personnel,,*
staff member name and expertise,staff member,staff member,name and expertise,Each staff member has a name and expertise.,,+name;expertise,
staff member assignment,staff member,staff member,assignment,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,+:assigned as caretaker;:assigned to as zoologist
staff member responsibilities,staff member,staff member,responsibilities,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,:assigned as caretaker
staff member responsibilities,staff member,staff member,responsibilities,Veterinarians are responsible for medical treatment of particular species.,species,,:responsible for
staff member administrative details,staff member,staff member,administrative details,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,+birth date;permanent address,
research,zoologist,zoologist,zoological garden,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,,
study,zoologist,zoologist,animals,Animals are the central entities in a zoological garden.,,,
classify,zoologist,zoologist,species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
study diet,zoologist,zoologist,animals,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
study diet,zoologist,zoologist,animals,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
study diet,zoologist,zoologist,animals,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others.",,,
study feeding schedule,zoologist,zoologist,animals,"For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
study feeding schedule,zoologist,zoologist,animals,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
study feeding technique,zoologist,zoologist,animals,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
study reproductive details,zoologist,zoologist,animals,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
study breeding time,zoologist,zoologist,animals,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
study gestation period,zoologist,zoologist,animals,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,,
study egg laying,zoologist,zoologist,animals,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,,
design enclosures,zoologist,zoologist,enclosures,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
design enclosures,zoologist,zoologist,enclosures,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
control temperature,zoologist,zoologist,enclosures,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,,
control humidity,zoologist,zoologist,enclosures,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
control light cycles,zoologist,zoologist,enclosures,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
control ventilation,zoologist,zoologist,enclosures,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
work with staff,zoologist,zoologist,staff,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
train animals,zoologist,zoologist,animals,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
participate in conservation programs,zoologist,zoologist,conservation programs,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
participate in conservation programs,zoologist,zoologist,conservation programs,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,,
participate in reintroduction programs,zoologist,zoologist,animals,Specific animals may be part of reintroduction conservation programs.,,,
treats,veterinarian,veterinarian,animal species,Veterinarians are responsible for medical treatment of particular species.,species,,responsible for
specializes in,veterinarian,veterinarian,animal species,Veterinarians are not assigned to enclosures or individual animals but species.,species,,responsible for
responsible for,caretaker,caretaker,enclosure,Caretakers are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
requires,caretaker,enclosure,caretaker,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned as caretaker
is a,caretaker,caretaker,staff member,Caretakers are staff members of zoological gardens.,staff member,,*
participation in conservation programs,conservation program,conservation program,zoological garden,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",zoological garden,,participates in
support for specific species,conservation program,conservation program,species,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",species,,supports
collaboration with global conservation entities,conservation program,conservation program,global conservation entities,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,,*
focus on specific countries or geographic regions,conservation program,conservation program,countries or geographic regions,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,+country;geographic region,
involvement in research,conservation program,conservation program,research,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,,*
involvement in breeding programs,conservation program,conservation program,breeding programs,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,,*
involvement in reintroduction efforts,conservation program,conservation program,reintroduction efforts,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",reintroduction conservation program,,*
participation in reintroduction conservation programs,conservation program,conservation program,specific animals,"conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",animal,,:is part of program
geographic region,reintroduction conservation program,reintroduction conservation program,geographic region,Conservation programs with ex-situ strategies also focus on specific countries or geographic regions.,,:country,
collaboration,reintroduction conservation program,reintroduction conservation program,global conservation entity,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
participation,reintroduction conservation program,reintroduction conservation program,animal,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
