Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
has iucn status,species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,iucn status,
has diet,species,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
has diet type,species,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
has nutrient requirements,species,The diet is also related to specific nutrients required to maintain health and vitality.,,,
has feeding frequency,species,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
has feeding pattern,species,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
has feeding technique,species,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
has reproductive details,species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,-gestation period;natural breeding time;reproductive age,
reproductive age,species,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,reproductive age,
breeding season,species,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
egg laying frequency,species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,:number of laid eggs,
has enclosures,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,resident of
enclosure details,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure maintenance,species,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
has climate conditions,species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,*
climate factors,species,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
thermal preference,species,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,*,
temperature range,species,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
humidity requirements,species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
light cycle requirements,species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
u v_light_requirements,species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,*,
has staff members,species,Staff members of zoological gardens are integral to their operation.,,,
staff roles,species,"They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
participates in conservation programs,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,supports
conservation program focus,species,A conservation program focuses on particular species it supports.,conservation program,,supports
conservation program collaborations,species,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
part of reintroduction programs,species,Specific animals may be part of reintroduction conservation programs.,,,
welfare and conservation status,diet,its specified diet which is crucial for managing their welfare and conservation status of the animal.,,,
impact on health behavior reproduction,diet,"a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
different types,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
feeding strategies,diet,This classification helps in formulating appropriate feeding strategies.,,feeding technique,
nutrients required,diet,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
vitamins or minerals,diet,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,,
feeding schedule,diet,The feeding schedule is essential.,,feeding schedule,
frequency and timing,diet,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,feeding schedule,
feeding frequency and size,diet,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,feeding schedule,
feeding technique,diet,The diet can also be associated with a special feeding technique,,feeding technique,
special feeding methods,diet,"because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
classification by species,oviparous species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",animal,,:classified by
i ucn_status,oviparous species,"Properties such as species name and species common name, and IUCN status characterize the species.",,:iucn status,
species name,oviparous species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,:species name,
specified diet,oviparous species,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
type of diet,oviparous species,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
number of eggs laid at once,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
breeding influence,enclosure,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
mimics natural environment,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
ethical display and conservation,enclosure,They are critical for the ethical display and conservation of animals.,,,
size type climate conditions vegetation,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,+enclosure size;enclosure type;vegetation,
design maintenance health space enrichment security,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
temperature critical,enclosure,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,*,
temperature range reptiles,enclosure,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
light cycles consistent,enclosure,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
proper ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
caretakers assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
caretakers daily care,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
multiple caretakers,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
not assigned to enclosures,enclosure,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
climate conditions,climate conditions,climate conditions,,,
temperature,climate conditions,temperature,,temperature,
humidity levels,climate conditions,humidity levels,,humidity level,
light cycles,climate conditions,light cycles (day and night),,light cycles,
ultraviolet light exposure,climate conditions,exposure to ultraviolet light,,ultraviolet light,
ventilation,climate conditions,proper ventilation,,ventilation,
is staff member of zoological garden,staff member,Staff members of zoological gardens,zoological garden,,has member
position,staff member,"They include zoologists, veterinarians, caretakers, and administrative personnel",+zoologist;veterinarian;caretaker;administrative personnel,,
name,staff member,Each staff member has a name,,name,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,and permanent address,,permanent address,
expertise,staff member,Their expertise directly affects animal welfare,,expertise,
goals,conservation program,"conservation, education, and research",,*,
diet,conservation program,diet which is crucial for managing their welfare and conservation status of the animal,,,
i ucn_status,conservation program,IUCN status provides insight into the conservation priority of species,,,
reproductive details,conservation program,reproductive details of animal species include reproductive health and management information,,,
enclosures,conservation program,various enclosures where its animals live and are ethically displayed and conserved,,,
program goals,conservation program,conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,*,
program collaborations,conservation program,"conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts",,*,
supported species,conservation program,conservation programs focus on particular species it supports,species,,supports
reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,*
