Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
is responsible for,zoologist,zoologist,enclosure,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. ... Caretakers and zoologists are assigned to particular enclosures they are responsible for.",enclosure,,assigned to as zoologist
treats,veterinarian,veterinarian,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,responsible for
is assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
is responsible for,caretaker,caretaker,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
provides daily care to,caretaker,caretaker,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
provides behavioral training to,caretaker,caretaker,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
focuses on,conservation program,conservation program,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,species,,supports
focuses on,conservation program,conservation program,country/region,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,+geographic region;country,
part of,conservation program,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
