Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,enclosure,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,zoological garden,,provides
has,enclosure,enclosure,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",species,,resident of
is responsible for,enclosure,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
is assigned to,enclosure,caretaker,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
has,enclosure,enclosure,caretaker,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
has,climate conditions,enclosure,climate conditions,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
is tailored to,climate conditions,climate conditions,species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,species,,*
includes,climate conditions,climate conditions,environmental factors,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,+temperature;humidity level;light cycles;ventilation,
includes,climate conditions,climate conditions,temperature,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,temperature,
includes,climate conditions,climate conditions,humidity levels,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
includes,climate conditions,climate conditions,light cycles,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
includes,climate conditions,climate conditions,ultraviolet light,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,ultraviolet light,
includes,climate conditions,climate conditions,ventilation,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,ventilation,
has,staff member,staff member,name,Each staff member has a name and expertise.,,name,
has,staff member,staff member,expertise,Each staff member has a name and expertise.,,expertise,
has,staff member,staff member,birth date,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,birth date,
has,staff member,staff member,permanent address,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,permanent address,
is assigned to,zoologist,zoologist,enclosure,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. ... Caretakers and zoologists are assigned to particular enclosures they are responsible for.",enclosure,,assigned to as zoologist
is responsible for,zoologist,zoologist,enclosure,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. ... Caretakers and zoologists are assigned to particular enclosures they are responsible for.",enclosure,,assigned to as zoologist
affects,zoologist,zoologist,animal,Their expertise directly affects animal welfare.,,,
is a,zoologist,zoologist,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,*
responsible for,veterinarian,veterinarian,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,responsible for
is,veterinarian,veterinarian,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,*
treats,veterinarian,veterinarian,animal,Veterinarians are responsible for medical treatment of particular species.,,,
is assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
is responsible for,caretaker,caretaker,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
provides,caretaker,caretaker,daily care,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
provides,caretaker,caretaker,behavioral training,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
participates in,conservation program,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,zoological garden,,participates in
supports,conservation program,conservation program,species,A conservation program focuses on particular species it supports.,species,,supports
collaborates with,conservation program,conservation program,global conservation entities,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
part of,conservation program,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
includes,reintroduction conservation program,reintroduction conservation program,reintroduction effort,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,*,
focuses on,reintroduction conservation program,reintroduction conservation program,species,A conservation program focuses on particular species it supports.,species,,:supports
collaborates with,reintroduction conservation program,reintroduction conservation program,global conservation entity,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
